date,adm1_name,adm0_name,cum_confirmed_cases,cum_deaths,cum_recoveries,active_cases,lat,lon,active_cases_new,population,business_closure_opt,emergency_declaration,event_cancel,no_demonstration,no_gathering_opt,pos_cases_quarantine,religious_closure,school_closure,social_distance_opt,testing_regime,travel_ban_intl_in_opt,travel_ban_intl_out_opt,welfare_services_closure,work_from_home_opt,travel_ban_intl_in_opt_country_l,travel_ban_intl_out_opt_country_,policies_enacted,t,dow,month,year,day,adm1_id,longest_series,l_active_cases,daily_confirmed_cases,l_cum_confirmed_cases,D_l_active_cases,transmissionrate,D_l_active_cases_raw,testing_change_kor_20feb2020,testing_change_kor_29feb2020,testing_change_kor_22mar2020,testing_change_kor_27mar2020,sample_avg,day_avg,p_kor_1,p_kor_2,p_kor_3,p_kor_4,_reghdfe_resid,__hdfe1__,__hdfe2__,country,D_l_cum_confirmed_cases,cum_confirmed_cases_imputed,cum_deaths_imputed,travel_ban_intl_out,travel_ban_intl_in,travel_ban_local,social_distance,work_from_home,no_gathering,paid_sick_leave,business_closure,federal_guidelines,home_isolation,transit_suspension,pos_cases_quarantine_popwt,travel_ban_local_popwt,social_distance_popwt,work_from_home_popwt,no_gathering_popwt,school_closure_popwt,religious_closure_popwt,paid_sick_leave_popwt,business_closure_popwt,federal_guidelines_popwt,home_isolation_popwt,transit_suspension_popwt,adm1_abb,testing_change_usa_13mar2020_NY,testing_change_usa_16mar2020_CA,testing_change_usa_18mar2020_NC,testing_change_usa_19mar2020_CT,testing_change_usa_19mar2020_NV,testing_change_usa_19mar2020_UT,testing_change_usa_20mar2020_IA,testing_change_usa_21mar2020_TN,testing_change_usa_22mar2020_AL,testing_change_usa_23mar2020_HI,testing_change_usa_24mar2020_KS,testing_change_usa_24mar2020_NJ,testing_change_usa_25mar2020_OH,testing_change_usa_27mar2020_AZ,testing_change_usa_28mar2020_MD,testing_change_usa_28mar2020_MO,testing_change_usa_30mar2020_DE,p_usa_1,p_usa_2,p_usa_3,p_usa_4,p_usa_5,p_usa_6,p_usa_7,p_usa_8,p_usa_9,p_usa_10,p_usa_11
2020-02-23,Busan,KOR,38,0,0,38,35.202,129.081,22,3410925,0,0,1,0,0,0,0,0,0,4,1,1,0,0,NA,NA,3,23feb2020,0,2,2020,23,Busan,0,3.637586,22,3.091043,0.8649974,1.375,0.8649974,0,0,0,0,NA,NA,0,0,0,0,0.58140881,-0.03437155,0.00381491,KOR,0.8649974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,Busan,KOR,44,0,0,44,35.202,129.081,6,3410925,0,0,1,0,0,0,0,0,0,4,1,1,0,0,NA,NA,3,24feb2020,1,2,2020,24,Busan,0,3.78419,6,1.791759,0.1466036,0.1578947,0.1466036,0,0,0,0,NA,NA,0,0,0,0,-0.11252319,-0.03437155,-0.02064689,KOR,0.1466036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,Busan,KOR,55,0,0,55,35.202,129.081,11,3410925,0,0,1,0,0,0,0,0,0,4,1,1,0,0,NA,NA,3,25feb2020,2,2,2020,25,Busan,0,4.007333,11,2.397895,0.2231436,0.25,0.2231436,0,0,0,0,NA,NA,0,0,0,0,-0.04829648,-0.03437155,-0.00833361,KOR,0.2231436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,Busan,KOR,60,0,0,60,35.202,129.081,5,3410925,0,0,1,0,0,0,1,0,0,4,1,1,0,0,NA,NA,4,26feb2020,3,2,2020,26,Busan,0,4.094345,5,1.609438,0.0870113,0.0909091,0.0870113,0,0,0,0,NA,NA,0,1,0,0,-0.08736326,-0.03437155,-0.0041242,KOR,0.0870113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,Busan,KOR,66,0,0,66,35.202,129.081,6,3410925,0,0,1,0,0,0,1,0,0,4,1,1,0,0,NA,NA,4,27feb2020,4,2,2020,27,Busan,0,4.189655,6,1.791759,0.0953102,0.1,0.0953102,0,0,0,0,NA,NA,0,1,0,0,-0.07970038,-0.03437155,-0.00348821,KOR,0.0953102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,Busan,KOR,71,0,0,71,35.202,129.081,5,3410925,0,0,1,0,0,0,1,0,0,4,1,1,1,0,NA,NA,5,28feb2020,5,2,2020,28,Busan,0,4.26268,5,1.609438,0.0730252,0.0757576,0.0730252,0,0,0,0,NA,NA,0,1,0,0,-0.03810224,-0.03437155,0.03390352,KOR,0.0730252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,Busan,KOR,76,0,0,76,35.202,129.081,5,3410925,0,0,1,0,0,0,1,0,1,5,1,1,1,0,NA,NA,6,29feb2020,6,2,2020,29,Busan,0,4.330733,5,1.609438,0.0680532,0.0704225,0.0680532,0,1,0,0,NA,NA,1,1,0,0,-0.02674095,-0.03437155,-0.00158444,KOR,0.0680532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,Busan,KOR,78,0,0,78,35.202,129.081,2,3410925,0,0,1,0,0,0,1,0,1,5,1,1,1,0,NA,NA,6,01mar2020,0,3,2020,1,Busan,0,4.356709,2,0.6931472,0.0263158,0.0263158,0.0259757,0,0,0,0,NA,NA,1,1,0,0,-0.03393509,-0.03437155,0.00381491,KOR,0.0263158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,Busan,KOR,79,0,1,78,35.202,129.081,1,3410925,0,0,1,0,0,0,1,1,1,5,1,1,1,0,NA,NA,7,02mar2020,1,3,2020,2,Busan,0,4.356709,1,0,0.0128205,0.0128205,0,0,0,0,0,NA,NA,1,1,0,0,-0.02296857,-0.03437155,-0.02064689,KOR,0.0128205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,Busan,KOR,82,0,1,81,35.202,129.081,3,3410925,0,0,1,0,0,0,1,1,1,5,1,1,1,0,NA,NA,7,03mar2020,2,3,2020,3,Busan,0,4.394449,3,1.098612,0.0384615,0.0384615,0.0377402,0,0,0,0,NA,NA,1,1,0,0,-0.00964082,-0.03437155,-0.00833361,KOR,0.0384615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
