totalt_antal_fall,adm1_name,case_count,date,cum_confirmed_cases,c1_schoolclosing,c2_workplaceclosing,c3_cancelpublicevents,c4_restrictionsongatherings,c5_closepublictransport,c6_stayathomerequirements,c7_domestictravel,c8_internationaltravel,e1_incomesupport,e2_debtcontractrelief,h1_publicinfocampaign,h2_testingpolicy,h3_contacttracing,school_closure,work_from_home,no_public_gathering,no_private_gathering,travel_ban_local,travel_ban_intl_in,t,dow,month,year,day,adm1_id,longest_series,l_cum_confirmed_cases,D_l_cum_confirmed_cases,sample_avg,day_avg,p_swe_1,p_swe_2,p_swe_3,p_swe_4,p_swe_5,p_swe_6
30,"Blekinge",0,"2020-03-04",,0,0,0,0,0,0,0,0,0,0,0,1,2,"0","0","0","0","0","0",04mar2020,3,3,2020,4,"Blekinge",0,,,,,0,0,0,0,0,0
25,"Blekinge",0,"2020-03-05",,0,0,0,0,0,0,0,0,0,0,0,1,2,"0","0","0","0","0","0",05mar2020,4,3,2020,5,"Blekinge",0,,,,,0,0,0,0,0,0
59,"Blekinge",0,"2020-03-06",,0,0,0,0,0,0,0,0,0,0,0,1,2,"0","0","0","0","0","0",06mar2020,5,3,2020,6,"Blekinge",0,,,,,0,0,0,0,0,0
33,"Blekinge",0,"2020-03-07",,0,0,0,0,0,0,0,0,0,0,0,1,2,"0","0","0","0","0","0",07mar2020,6,3,2020,7,"Blekinge",0,,,,,0,0,0,0,0,0
46,"Blekinge",0,"2020-03-08",,0,0,0,0,0,0,0,0,0,0,0,1,2,"0","0","0","0","0","0",08mar2020,0,3,2020,8,"Blekinge",0,,,,,0,0,0,0,0,0
101,"Blekinge",0,"2020-03-09",,0,0,0,0,0,0,0,0,0,0,2,1,2,"0","0","0","0","0","0",09mar2020,1,3,2020,9,"Blekinge",0,,,,,0,0,0,0,0,0
98,"Blekinge",1,"2020-03-10",,0,0,0,0,0,0,0,0,0,0,2,1,2,"0","0","0","0","0","0",10mar2020,2,3,2020,10,"Blekinge",0,,,,,0,0,0,0,0,0
196,"Blekinge",6,"2020-03-11",,0,0,0,0,0,0,0,0,2,0,2,1,2,"0","0","0","0","0","0",11mar2020,3,3,2020,11,"Blekinge",0,,,,,0,0,0,0,0,0
151,"Blekinge",2,"2020-03-12",,0,0,0,2,0,0,0,0,2,0,2,1,2,"0","0","0","1","0","0",12mar2020,4,3,2020,12,"Blekinge",0,,,,,0,0,0,1,0,0
152,"Blekinge",0,"2020-03-13",,0,0,0,2,0,0,0,0,2,0,2,1,2,"0","0","0","1","0","0",13mar2020,5,3,2020,13,"Blekinge",0,,,,,0,0,0,1,0,0
71,"Blekinge",0,"2020-03-14",,0,0,0,2,0,0,0,0,2,0,2,1,2,"0","0","0","1","0","0",14mar2020,6,3,2020,14,"Blekinge",0,,,,,0,0,0,1,0,0
69,"Blekinge",1,"2020-03-15",10,0,0,0,2,0,0,0,0,2,0,2,1,2,"0","0","0","1","0","0",15mar2020,0,3,2020,15,"Blekinge",0,2.302585,,,,0,0,0,1,0,0
83,"Blekinge",0,"2020-03-16",10,0,0,0,2,0,0,0,0,2,1,2,1,2,"0","0","0","1","0","0",16mar2020,1,3,2020,16,"Blekinge",0,2.302585,0,,,0,0,0,1,0,0
119,"Blekinge",1,"2020-03-17",11,0,0,0,2,0,0,0,0,2,1,2,1,2,"0","0","0","1","0","0",17mar2020,2,3,2020,17,"Blekinge",0,2.397895,.0953102,,,0,0,0,1,0,0
145,"Blekinge",1,"2020-03-18",12,1,0,0,2,0,0,0,0,2,1,2,1,2,"1","0","0","1","0","0",18mar2020,3,3,2020,18,"Blekinge",0,2.484907,.0870113,,,1,0,0,1,0,0
143,"Blekinge",0,"2020-03-19",12,1,0,0,2,0,0,0,3,2,1,2,1,2,"1","0","0","1","0","1",19mar2020,4,3,2020,19,"Blekinge",0,2.484907,0,,,1,0,0,1,0,1
180,"Blekinge",0,"2020-03-20",12,1,0,0,2,0,0,0,3,2,1,2,1,2,"1","0","0","1","0","1",20mar2020,5,3,2020,20,"Blekinge",0,2.484907,0,,,1,0,0,1,0,1
134,"Blekinge",0,"2020-03-21",12,1,0,0,2,0,0,0,3,2,1,2,1,2,"1","0","0","1","0","1",21mar2020,6,3,2020,21,"Blekinge",0,2.484907,0,,,1,0,0,1,0,1
118,"Blekinge",0,"2020-03-22",12,1,0,0,2,0,0,0,3,2,1,2,1,2,"1","0","0","1","0","1",22mar2020,0,3,2020,22,"Blekinge",0,2.484907,0,,,1,0,0,1,0,1
182,"Blekinge",0,"2020-03-23",12,1,0,0,2,0,0,0,3,2,1,2,1,1,"1","0","0","1","0","1",23mar2020,1,3,2020,23,"Blekinge",0,2.484907,0,,,1,0,0,1,0,1
230,"Blekinge",0,"2020-03-24",12,1,0,0,2,0,0,0,3,2,1,2,1,1,"1","0","0","1","0","1",24mar2020,2,3,2020,24,"Blekinge",0,2.484907,0,,,1,0,0,1,0,1
314,"Blekinge",3,"2020-03-25",15,1,1,0,2,0,0,0,3,2,1,2,1,1,"1","1","0","1","0","1",25mar2020,3,3,2020,25,"Blekinge",0,2.70805,.2231436,,,1,1,0,1,0,1
286,"Blekinge",0,"2020-03-26",15,1,1,0,2,0,0,0,3,2,1,2,1,1,"1","1","0","1","0","1",26mar2020,4,3,2020,26,"Blekinge",0,2.70805,0,,,1,1,0,1,0,1
365,"Blekinge",2,"2020-03-27",17,1,1,0,2,0,0,0,3,2,1,2,1,1,"1","1","0","1","0","1",27mar2020,5,3,2020,27,"Blekinge",0,2.833213,.1251631,,,1,1,0,1,0,1
300,"Blekinge",0,"2020-03-28",17,1,1,0,2,0,0,0,3,2,1,2,1,1,"1","1","0","1","0","1",28mar2020,6,3,2020,28,"Blekinge",0,2.833213,0,,,1,1,0,1,0,1
280,"Blekinge",4,"2020-03-29",21,1,1,0,3,0,0,0,3,2,1,2,1,1,"1","1","0","1","0","1",29mar2020,0,3,2020,29,"Blekinge",0,3.044523,.2113092,,,1,1,0,1,0,1
416,"Blekinge",0,"2020-03-30",21,1,1,0,3,0,0,0,3,2,1,2,1,1,"1","1","0","1","0","1",30mar2020,1,3,2020,30,"Blekinge",0,3.044523,0,,,1,1,0,1,0,1
475,"Blekinge",1,"2020-03-31",22,1,1,0,3,0,0,0,3,2,1,2,1,1,"1","1","0","1","0","1",31mar2020,2,3,2020,31,"Blekinge",0,3.091043,.04652,,,1,1,0,1,0,1
486,"Blekinge",5,"2020-04-01",27,1,1,1,3,0,0,0,3,2,1,2,1,1,"1","1","1","1","0","1",01apr2020,3,4,2020,1,"Blekinge",0,3.295837,.2047944,,,1,1,1,1,0,1
554,"Blekinge",3,"2020-04-02",30,1,1,1,3,0,0,0,3,2,1,2,1,1,"1","1","1","1","0","1",02apr2020,4,4,2020,2,"Blekinge",0,3.401197,.1053605,,,1,1,1,1,0,1
601,"Blekinge",1,"2020-04-03",31,1,1,1,3,0,0,0,3,2,1,2,1,1,"1","1","1","1","0","1",03apr2020,5,4,2020,3,"Blekinge",0,3.433987,.0327897,,,1,1,1,1,0,1
357,"Blekinge",4,"2020-04-04",35,1,1,1,3,0,0,1,3,2,1,2,1,1,"1","1","1","1","1","1",04apr2020,6,4,2020,4,"Blekinge",0,3.555348,.121361,,,1,1,1,1,1,1
340,"Blekinge",1,"2020-04-05",36,1,1,1,3,0,0,1,3,2,1,2,1,1,"1","1","1","1","1","1",05apr2020,0,4,2020,5,"Blekinge",0,3.583519,.0281708,,,1,1,1,1,1,1
389,"Blekinge",0,"2020-04-06",36,1,1,1,3,0,0,1,3,2,1,2,1,1,"1","1","1","1","1","1",06apr2020,1,4,2020,6,"Blekinge",0,3.583519,0,,,1,1,1,1,1,1
